Entry,ID,Rep,Sample,GDUKG,DW,MW,Black Layer,Gap
66,,1,1,238.5,12.49,86.85,0,0
66,,1,2,290.5,21.36,130.78,0,0
66,,1,3,382.5,53.51,174.89,0,0
66,,1,4,415.5,81.92,212.67,0,0
66,,1,5,459.5,98.35,187.59,0,0
66,,1,6,516,134.4,223.09,0,0
66,,1,7,491.5,115.45,193.41,0,0
66,,1,8,566,148.02,210.43,0,0
66,,1,9,621.5,192.18,261.27,0,0
66,,1,10,671,201.5,237.8,0,0
66,,1,11,657.5,197.06,227.55,0,0
66,,1,12,706.5,243.98,253.97,0,0
66,,1,13,753,238.27,215.54,0,0
66,,1,14,856.5,286.33,234.55,0,0
66,,1,15,837.5,303.35,261.33,0,0
66,,1,16,897.5,273.27,181.22,0,0
66,,1,17,954,334.91,202.47,0,0
66,,1,18,894.5,356.1,276.17,0,0
66,,1,19,981.5,273.39,126.85,2,0
66,,1,20,970.5,314.16,170.69,2,0
66,,1,21,970.5,320.71,171.71,0,0
66,,2,1,214,9.43,80.36,0,0
66,,2,2,285.5,23.04,130.05,0,0
66,,2,3,289,27.01,138.44,0,0
66,,2,5,456.5,86.96,197.25,0,0
66,,2,6,545,133.07,233.31,0,0
66,,2,7,483.5,107.76,209.53,0,0
66,,2,8,566,166,242.19,0,0
66,,2,9,608.5,187.78,238.03,0,0
66,,2,10,609.5,179.85,226.05,0,0
66,,2,11,703.5,228.75,236.66,0,0
66,,2,12,712.5,220.07,225.47,0,0
66,,2,13,800,262.99,222.12,0,0
66,,2,14,844.5,278.02,229.09,0,0
66,,2,15,913,322.57,210.87,0,0
66,,2,16,942,317.18,207.47,0,0
66,,2,17,900.5,280.03,173.51,0,0
66,,2,18,943,331.83,208.33,0,0
66,,2,19,998.5,348.34,206.26,0,0
66,,2,20,1026.5,296.05,133.89,2,0
66,,2,21,1026.5,281.47,100.53,2,0
66,,3,1,248,11.55,85.79,0,0
66,,3,2,290.5,21.79,133.49,0,0
66,,3,3,371,44.92,156.6,0,0
66,,3,4,381,57.15,188.01,0,0
66,,3,5,440.5,88.97,204.33,0,0
66,,3,6,493,116.18,226.97,0,0
66,,3,7,520,127.87,213.88,0,0
66,,3,8,520,142.89,236.4,0,0
66,,3,9,596.5,175.23,237.71,0,0
66,,3,10,597.5,193.99,262.87,0,0
66,,3,11,648,191.81,238.91,0,0
66,,3,12,709,217.19,236.82,0,0
66,,3,13,813,274.03,211.83,0,0
66,,3,14,831.5,255.51,224.99,0,0
66,,3,15,853,245.99,186.52,0,0
66,,3,16,894,282.76,196.69,0,0
66,,3,17,938,324.59,211.71,0,0
66,,3,18,895.5,304.87,197.78,0,0
66,,3,19,969,334.27,202.21,0,0
66,,3,20,922,295.79,192.21,0,0
66,,4,1,221.5,9.43,74.21,0,0
66,,4,2,271,17.21,113.29,0,0
66,,4,3,326.5,37.05,176.17,0,0
66,,4,4,415.5,77.17,211.55,0,0
66,,4,5,398,73.21,202.82,0,0
66,,4,6,491.5,118.05,214.82,0,0
66,,4,7,499,125.37,220.13,0,0
66,,4,8,583,159.97,226.23,0,0
66,,4,9,563.5,157,218.82,0,0
66,,4,10,629,204.35,237.61,0,0
66,,4,11,719,218.26,226.52,0,0
66,,4,12,751,245.37,222.18,0,0
66,,4,13,814.5,270.74,230.66,0,0
66,,4,14,873.5,312.05,234.71,0,0
66,,4,15,857,271.01,194.58,0,0
66,,4,16,922.5,321.52,223.78,0,0
66,,4,17,929,297.79,184.24,0,0
66,,4,18,968,321.09,205.45,0,0
66,,4,19,956.5,340.75,215.51,0,0
66,,4,20,1012.5,306.77,155.17,2,0
66,,4,21,1056.5,343.59,146.91,2,0
67,PA,1,1,198,7.61,58.17,0,0
67,PA,2,1,169,4.57,38.13,0,0
67,PA,3,1,169,4.13,35.58,0,0
67,PA,4,1,205.5,7.29,58.1,0,0
67,PA,5,1,221,9.4,69.12,0,0
67,PA,1,2,252.5,11.62,80.58,0,0
67,PA,2,2,252.5,15.27,98.01,0,0
67,PA,3,2,267.5,15.89,98.46,0,0
67,PA,4,2,258,16.6,107.28,0,0
67,PA,5,2,279,18.63,114.84,0,0
67,PA,1,3,346.5,36.2,164.73,0,0
67,PA,2,3,346.5,37.67,164.03,0,0
67,PA,3,3,332.5,29.18,144.57,0,0
67,PA,4,3,299.5,24.81,131.89,0,0
67,PA,5,3,346.5,35.91,156.89,0,0
67,PA,1,4,351.5,37.48,157.21,0,0
67,PA,2,4,397.5,54.76,163.26,0,0
67,PA,3,4,397.5,61.24,187.53,0,0
67,PA,4,4,350.5,43,171.22,0,0
67,PA,5,4,417,73.5,208.65,0,0
67,PA,1,5,444.5,85.82,202.12,0,0
67,PA,2,5,429.5,77.72,188.21,0,0
67,PA,3,5,444.5,92.53,208.01,0,0
67,PA,4,5,446.5,77.3,190.67,0,0
67,PA,5,5,442.5,84.73,205.93,0,0
67,PA,1,6,442.5,90.11,194.93,0,0
67,PA,2,6,488.5,115.27,212.69,0,0
67,PA,3,6,488.5,105.56,197.87,0,0
67,PA,4,6,501,97.35,191.6,0,0
67,PA,5,6,482.5,114.19,242.68,0,0
67,PA,1,7,530,146.52,231.28,0,0
67,PA,2,7,545,121.25,202.03,0,0
67,PA,3,7,560,129.36,212.88,0,0
67,PA,4,7,574.5,141.25,222.41,0,0
67,PA,5,7,535,124.08,214.51,0,0
67,PA,1,8,611.5,161.79,230.47,0,0
67,PA,2,8,567,132.82,190.66,0,0
67,PA,3,8,553,133.05,198.53,0,0
67,PA,4,8,574,145,204.94,0,0
67,PA,5,8,545,144.59,204.17,0,0
67,PA,1,9,597,167.84,232.53,0,0
67,PA,2,9,597,148.95,206.52,0,0
67,PA,3,9,612,177.67,239.37,0,0
67,PA,4,9,627,171.88,219.3,0,0
67,PA,5,9,595,167.05,236.15,0,0
67,PA,1,10,667.5,185.33,226.49,0,0
67,PA,2,10,667.5,176.77,212.57,0,0
67,PA,3,10,638.5,156.97,206.43,0,0
67,PA,4,10,637.5,163.89,204.89,0,0
67,PA,5,10,667.5,203.82,245.95,0,0
67,PA,1,11,685,186.05,205.96,0,0
67,PA,2,11,700,193.98,221.49,0,0
67,PA,3,11,671,172.93,203.61,0,0
67,PA,4,11,729.5,187.86,201.65,0,0
67,PA,5,11,688,226.95,245.61,0,0
67,PA,1,12,777.5,242.37,248.57,0,0
67,PA,2,12,733,211.85,243.5,0,0
67,PA,3,12,733,190.79,212.94,0,0
67,PA,4,12,732.5,223.27,244.37,0,0
67,PA,5,12,738.5,213.95,229.46,0,0
67,PA,1,13,797,207.95,199.72,0,0
67,PA,2,13,797,231.38,229.57,0,0
67,PA,3,13,812,267.81,250.2,0,0
67,PA,4,13,768.5,213.61,217.25,0,0
67,PA,5,13,813,231.16,219.68,0,0
67,PA,1,14,873,257.57,233.61,0,0
67,PA,2,14,858.5,228.44,210.87,0,0
67,PA,3,14,814.5,242.01,215.7,0,0
67,PA,4,14,844,249.91,250.15,0,0
67,PA,5,14,830,260.25,215.38,0,0
67,PA,1,15,887.5,248.09,214.19,0,0
67,PA,2,15,902.5,280.03,228.15,0,0
67,PA,3,15,902.5,279.71,234.35,0,0
67,PA,4,15,888.5,280.47,239.44,0,0
67,PA,5,15,917.5,245.22,189.61,0,0
67,PA,1,16,928,275.29,214.66,0,0
67,PA,2,16,943,279.19,222.45,0,0
67,PA,3,16,899,238.4,193.53,0,0
67,PA,4,16,943,255.35,179.17,0,0
67,PA,5,16,897.5,250.61,169.45,0,0
67,PA,1,17,953.5,289.46,213.85,0,0
67,PA,2,17,953.5,267.51,180.85,0,0
67,PA,3,17,939.5,271.75,182.71,0,0
67,PA,4,17,972,287.05,201.92,0,0
67,PA,5,17,999.5,326.67,224.95,0,0
67,PA,1,18,1000,313.02,199.79,0,0
67,PA,2,18,1000,293.39,169.95,0,0
67,PA,3,18,1029.5,328.67,186.65,0,1
67,PA,4,18,1006,289.93,176.17,0,0
67,PA,5,18,1024,305.13,170.51,0,1
67,PA,1,19,1043.5,343.28,217.07,0,0
67,PA,2,19,999,314.18,216.48,0,0
67,PA,3,19,1029,287.2,168.23,0,1
67,PA,4,19,1029,282.99,195.23,0,1
67,PA,1,20,1042.5,304.04,187.82,0,0
67,PA,2,20,1027.5,293.46,190.08,0,0
67,PA,3,20,1027.5,322.23,219.29,0,0
67,PA,4,20,1042.5,300.55,191.78,0,0
67,PA,5,20,1055,330.97,198.69,2,0
67,PA,1,21,1056.5,278.64,164.55,0,0
67,PA,2,21,1056.5,325.06,184.59,0,1
67,PA,3,21,1056.5,331.57,176.74,0,0
67,PA,4,21,1071,312.41,187.11,0,0
67,PA,1,22,1041.5,307.04,179.41,0,0
67,PA,2,22,1041.5,299.01,170.22,0,0
68,PB,1,1,190.5,7.28,63.09,0,0
68,PB,2,1,174,5.61,50.37,0,0
68,PB,3,1,205.5,6.01,51.81,0,0
68,PB,4,1,174,5.62,52.87,0,0
68,PB,1,2,250.5,11.15,88.83,0,0
68,PB,2,2,250.5,11.15,82.93,0,0
68,PB,3,2,214,6.96,60.85,0,0
68,PB,4,2,250.5,10.21,81.23,0,0
68,PB,1,3,323.5,28.24,145.47,0,0
68,PB,2,3,323.5,23.12,124.7,0,0
68,PB,3,3,344,38.75,158.51,0,0
68,PB,4,3,323.5,31.42,152.13,0,0
68,PB,1,4,407.5,56.33,175.57,0,0
68,PB,2,4,407.5,55.3,178.15,0,0
68,PB,3,4,425.5,64.86,176.18,0,0
68,PB,4,4,409,62.58,177.41,0,0
68,PB,1,5,446.5,83.15,189.78,0,0
68,PB,2,5,446.5,54.28,153.43,0,0
68,PB,3,5,416.5,62.69,163.38,0,0
68,PB,4,5,463,76.45,179.21,0,0
68,PB,1,6,517.5,114.69,195.31,0,0
68,PB,2,6,471.5,83.82,179.09,0,0
68,PB,3,6,456.5,77.35,181.89,0,0
68,PB,4,6,486.5,80.24,170.76,0,0
68,PB,1,7,541,129.49,218.55,0,0
68,PB,2,7,541,97.55,181.2,0,0
68,PB,3,7,530,102.65,200.6,0,0
68,PB,4,7,541,104.07,183.29,0,0
68,PB,1,8,593.5,142.06,212.78,0,0
68,PB,2,8,630,151.28,209.59,0,0
68,PB,3,8,589,146.48,215.14,0,0
68,PB,4,8,593.5,143.05,208.05,0,0
68,PB,1,9,606,145.86,197.81,0,0
68,PB,2,9,606,127.67,185.31,0,0
68,PB,3,9,597,149.55,205.59,0,0
68,PB,4,9,620.5,165.2,225.79,0,0
68,PB,1,10,670,189.05,221.29,0,0
68,PB,2,10,639,163.89,204.57,0,0
68,PB,3,10,622.5,174.15,222.05,0,0
68,PB,4,10,670,181.88,218.65,0,0
68,PB,1,11,697,203.62,209.79,0,0
68,PB,2,11,667.5,196.11,227.58,0,0
68,PB,3,11,715,219.7,236.11,0,0
68,PB,4,11,682.5,190.73,207.99,0,0
68,PB,1,12,732,191.87,201.12,0,0
68,PB,2,12,763,194.21,188.96,0,0
68,PB,3,12,747.5,226.79,246.45,0,0
68,PB,4,12,717,176.89,181.19,0,0
68,PB,1,13,813.5,262.25,225.34,0,0
68,PB,2,13,782.5,194.39,186.36,0,0
68,PB,3,13,813,257.85,249.1,0,0
68,PB,4,13,797,241.85,221.85,0,0
68,PB,1,14,859,259.38,203.04,0,0
68,PB,2,14,842.5,231.57,198.27,0,0
68,PB,3,14,814,215.63,200.9,0,0
68,PB,4,14,842.5,225.59,211.07,0,0
68,PB,1,15,888.5,255.59,189.98,0,0
68,PB,2,15,888.5,222.33,170.93,0,0
68,PB,3,15,902.5,272.84,221.98,0,0
68,PB,4,15,874,272.06,220.85,0,0
68,PB,1,16,948.5,290.49,187.43,0,0
68,PB,2,16,932,266.29,194.47,0,0
68,PB,3,16,957.5,301.39,214.82,0,0
68,PB,4,16,932,309.76,234.26,0,0
68,PB,1,17,973,317.7,228.51,0,0
68,PB,2,17,1009.5,277.19,168.65,0,0
68,PB,3,17,986.5,328.31,239.94,0,0
68,PB,4,17,989.5,273.36,189.84,0,0
68,PB,1,18,1030.5,342.39,211.82,0,0
68,PB,2,18,984.5,291.61,175.55,0,0
68,PB,3,18,1006,298.63,171.38,0,0
68,PB,4,18,1014,285.71,169.79,0,0
68,PB,1,19,1038.5,320.9,202.79,0,0
68,PB,2,19,1009,307.44,195.85,0,0
68,PB,3,19,1043.5,291.03,173.67,0,0
68,PB,4,19,1075,302.66,167.83,0,0
68,PB,2,20,1044.5,280.14,166.34,0,0
